2004;40500;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;-9999;-9999;-9999;-9999;-9999;45;65;0.375;0.6
2005;41100;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;-9999;-9999;-9999;-9999;-9999;45;65;0.375;0.6
2006;42100;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;-9999;-9999;-9999;-9999;-9999;45;65;0.375;0.6
2007;43700;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;4871.16;4522.68;1247.52;10365;10365;45;65;0.375;0.6
2008;44900;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;4968.6;4613.16;1272.48;10614.96;10614.96;45;65;0.375;0.6
2009;46300;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;5092.8;4728.48;1304.28;10905;10905;45;65;0.375;0.6
2010;47200;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;5113.2;4747.44;1309.44;11210.04;11210.04;45;65;0.375;0.6
2011;48300;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.15;5200.08;4828.2;1331.76;11520;11520;45;65;0.375;0.6
2012;50100;3500;0.0495;0.0495;0.099;0.0624;0.084;5;0.25;0.16;5345.64;4963.44;1369.08;11840.04;11840.04;45;65;0.375;0.6
2013;51100;3500;0.0495;0.0495;0.099;0.0648;0.084;5;0.25;0.16;5441.88;5052.84;1393.68;12150;12150;45;65;0.375;0.6
2014;52500;3500;0.0495;0.0495;0.099;0.0672;0.084;5;0.25;0.17;5490.84;5098.32;1406.28;12459.96;12459.96;45;65;0.375;0.6
2015;53600;3500;0.0495;0.0495;0.099;0.0696;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;12780;12780;45;65;0.375;0.6
2016;54900;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;12907.8;12907.8;45;65;0.375;0.6
2017;55300;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13036.88;13036.88;45;65;0.375;0.6
2018;55900;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13167.25;13167.25;45;65;0.375;0.6
2019;55776.38;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13298.92;13298.92;45;65;0.375;0.6
2020;56334.14;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13431.91;13431.91;45;65;0.375;0.6
2021;56897.48;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13566.23;13566.23;45;65;0.375;0.6
2022;57466.45;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13701.89;13701.89;45;65;0.375;0.6
2023;58041.12;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13838.91;13838.91;45;65;0.375;0.6
2024;58621.53;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;13977.3;13977.3;45;65;0.375;0.6
2025;59207.75;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14117.07;14117.07;45;65;0.375;0.6
2026;59799.82;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14258.24;14258.24;45;65;0.375;0.6
2027;60397.82;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14400.82;14400.82;45;65;0.375;0.6
2028;61001.8;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14544.83;14544.83;45;65;0.375;0.6
2029;61611.82;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14690.28;14690.28;45;65;0.375;0.6
2030;62227.94;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14837.18;14837.18;45;65;0.375;0.6
2031;62850.21;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;14985.55;14985.55;45;65;0.375;0.6
2032;63478.72;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;15135.41;15135.41;45;65;0.375;0.6
2033;64113.5;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;15286.77;15286.77;45;65;0.375;0.6
2034;64754.64;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;15439.63;15439.63;45;65;0.375;0.6
2035;65402.19;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;15594.03;15594.03;45;65;0.375;0.6
2036;66056.21;3500;0.0495;0.0495;0.099;0.072;0.084;5;0.25;0.17;5589.72;5190.12;1431.6;15749.97;15749.97;45;65;0.375;0.6
