year,ympe,exempt,worker,employer,selfemp,ca,arf,drc,nympe,reprate,droprate,pu1,pu2,pu3,pu4,survmax60,survmax65,survage1,survage2,survrate1,survrate2,era,nra,lra,supp,disab_rate,disab_base,cola,ympe_s2,worker_s1,employer_s1,worker_s2,employer_s2,selfemp_s1,selfemp_s2,reprate_s1,reprate_s2,supp_s1,supp_s2
1987,25900.00,2500.00,0.0190,0.0190,0.0380,0.0000,0.0600,0.0600,3.00,0.25,0.15,242.95,310.82,242.95,242.95,6258.24,6258.24,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,253.64,0.041,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1988,26500.00,2600.00,0.0200,0.0200,0.0400,0.0000,0.0600,0.0600,3.00,0.25,0.15,253.64,324.50,253.64,253.64,6516.72,6516.72,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,264.04,0.044,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1989,27700.00,2700.00,0.0210,0.0210,0.0420,0.0000,0.0600,0.0600,3.00,0.25,0.15,264.04,337.80,264.04,264.04,6675,6675,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,276.71,0.041,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1990,28900.00,2800.00,0.0220,0.0220,0.0440,0.0000,0.0600,0.0600,3.00,0.25,0.15,276.71,354.01,276.71,276.71,6924.96,6924.96,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,289.99,0.048,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1991,30500.00,3000.00,0.0230,0.0230,0.0460,0.0000,0.0600,0.0600,3.00,0.25,0.15,289.99,371.00,289.99,289.99,7258.32,7258.32,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,306.81,0.048,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1992,32200.00,3200.00,0.0240,0.0240,0.0480,0.0000,0.0600,0.0600,3.00,0.25,0.15,306.81,392.52,306.81,306.81,7633.32,7633.32,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,312.33,0.058,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1993,33400.00,3300.00,0.0250,0.0250,0.0500,0.0000,0.0600,0.0600,3.00,0.25,0.15,312.33,399.59,312.33,312.33,8008.32,8008.32,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,318.26,0.018,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1994,34400.00,3400.00,0.0260,0.0260,0.0520,0.0000,0.0600,0.0600,3.00,0.25,0.15,318.26,399.59,295.51,81.52,8333.28,8333.28,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,318.26,0.019,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1995,34900.00,3400.00,0.0270,0.0270,0.0540,0.0000,0.0600,0.0600,3.00,0.25,0.15,318.26,399.59,295.51,81.52,8558.28,8558.28,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,325.58,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1996,35400.00,3500.00,0.0280,0.0280,0.0560,0.0000,0.0600,0.0600,3.00,0.25,0.15,325.58,399.59,302.31,83.39,8724.96,8724.96,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,330.46,0.023,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1997,35800.00,3500.00,0.0300,0.0300,0.0600,0.0000,0.0600,0.0600,3.00,0.25,0.15,330.46,399.59,306.84,84.64,8841.72,8841.72,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,336.74,0.015,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1998,36900.00,3500.00,0.0320,0.0320,0.0640,0.0000,0.0600,0.0600,4.00,0.25,0.15,336.74,399.59,312.67,86.25,8937.48,8937.48,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,339.77,0.019,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
1999,37400.00,3500.00,0.0350,0.0350,0.0700,0.0000,0.0600,0.0600,5.00,0.25,0.15,339.77,399.59,315.48,87.03,9020.04,9020.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,345.21,0.009,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2000,37600.00,3500.00,0.0390,0.0390,0.0780,0.0000,0.0600,0.0600,5.00,0.25,0.15,345.21,399.59,320.53,88.42,9155.04,9155.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,353.84,0.016,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2001,38300.00,3500.00,0.0430,0.0430,0.0860,0.0000,0.0600,0.0600,5.00,0.25,0.15,353.84,399.59,328.54,90.63,9300,9300,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,364.46,0.025,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2002,39100.00,3500.00,0.0470,0.0470,0.0940,0.0000,0.0600,0.0600,5.00,0.25,0.15,364.46,399.59,338.40,93.35,9465,9465,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,370.29,0.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2003,39900.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,370.29,399.59,343.81,94.84,9615,9615,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,382.14,0.016,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2004,40500.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,382.14,399.59,354.81,97.87,9770.04,9770.04,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,388.64,0.032,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2005,41100.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,388.64,399.59,360.84,99.53,9945,9945,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,397.58,0.017,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2006,42100.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,397.58,399.59,369.14,101.82,10134.96,10134.96,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,405.93,0.023,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
2007,43700.00,3500.00,0.0495,0.0495,0.0990,0.0000,0.0600,0.0600,5.00,0.25,0.15,405.93,405.93,376.89,103.96,10365.00,10365.00,45.00,65.00,0.3750,0.6000,60.00,65.00,70.00,0.000,0.75,414.05,0.021,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000
